symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
BOYM,2026-06-09 05:45:00+00,-32.39,66.26,3.017088,5.830056,87.3,981.8427,0,12.56
BOYM,2026-06-09 05:30:00+00,-32.08,66.72,1.909008,4.039632,128.6,981.8909,0.001,12.56
BOYM,2026-06-09 05:15:00+00,-31.87,67.17,2.082024,3.31452,181.3,982.0185,0.001,12.57
BOYM,2026-06-09 05:00:00+00,-32.28,65.67,0.808704,3.048192,154.3,982.0646,0,12.56
BOYM,2026-06-09 04:45:00+00,-31.89,65.92,1.825416,2.933496,115,982.0198,0.001,12.57
BOYM,2026-06-09 04:30:00+00,-31.26,66.63,2.851848,3.695544,104.2,981.9951,0,12.56
BOYM,2026-06-09 04:15:00+00,-31.75,65.74,2.855736,4.000752,101.5,982.0048,0,12.55
BOYM,2026-06-11 04:00:00+00,-36.32,63.94,2.63412,4.953312,136,980.4891,0.001,12.46
BOYM,2026-06-11 03:45:00+00,-36.73,62.15,2.894616,3.961872,210.7,980.5334,0,12.48
BOYM,2026-06-11 03:30:00+00,-35.69,62.36,3.063744,5.485968,152.7,980.56,0,12.48
BOYM,2026-06-11 03:15:00+00,-36.3,62.99,1.942056,4.039632,94.1,980.8277,0,12.48
BOYM,2026-06-11 03:00:00+00,-36.6,63.2,1.358856,3.429216,111,981.2154,0,12.48
BOYM,2026-06-11 02:45:00+00,-36.49,62.48,0.676512,2.515536,110.6,981.2255,0,12.48
BOYM,2026-06-11 02:30:00+00,-36.1,61.53,1.38024,2.476656,206.8,981.1385,0,12.48
BOYM,2026-06-11 02:15:00+00,-35.77,62.18,1.980936,3.277584,95.3,981.3525,0.001,12.49
BOYM,2026-06-11 02:00:00+00,-35.89,61.95,1.988712,3.84912,93.7,981.272,0,12.48
BOYM,2026-06-11 01:45:00+00,-35.99,61.93,1.813752,2.706048,204.5,981.3849,0,12.49
BOYM,2026-06-11 01:30:00+00,-35.96,61.47,3.073464,5.143824,203.2,981.3846,0,12.49
BOYM,2026-06-11 01:15:00+00,-36.04,60.8,1.284984,2.742984,187.9,981.2853,0,12.49
BOYM,2026-06-11 01:00:00+00,-35.74,61.3,0.999216,1.829304,129.8,981.3604,0,12.49
BOYM,2026-06-11 00:45:00+00,-35.61,61.1,2.53692,6.057504,83.6,981.2173,0,12.49
BOYM,2026-06-11 00:30:00+00,-35.47,62.86,4.134888,5.75424,96.5,981.124,0,12.49
BOYM,2026-06-11 00:15:00+00,-35.98,62.59,1.675728,4.26708,93,981.1735,0,12.49
BOYM,2026-06-11 00:00:00+00,-35.61,61.3,1.160568,2.85768,211.8,981.2505,0,12.49
BOYM,2026-06-10 23:45:00+00,-35.28,62.9,1.82736,2.85768,137.6,981.3187,0,12.49
BOYM,2026-06-10 23:30:00+00,-35.79,61.76,1.036152,2.36196,124.1,981.3702,0,12.49
BOYM,2026-06-10 23:15:00+00,-35.37,60.45,0.42768,1.524096,89.9,981.5259,0,12.49
BOYM,2026-06-10 23:00:00+00,-35.01,61.56,1.22472,1.980936,114.6,981.3483,0,12.49
BOYM,2026-06-10 22:45:00+00,-35.31,60.04,2.068416,3.162888,89.1,981.2206,0,12.5
BOYM,2026-06-10 22:30:00+00,-34.18,61.71,2.46888,4.72392,121.4,981.2342,0.001,12.5
BOYM,2026-06-10 22:15:00+00,-35.21,62.2,2.045088,3.505032,134.1,981.238,0,12.5
BOYM,2026-06-10 22:00:00+00,-35.38,60.24,0.804816,1.90512,190.2,981.2952,0,12.5
BOYM,2026-06-10 21:45:00+00,-34.61,60.84,1.640736,2.89656,165.3,981.4942,0,12.5
BOYM,2026-06-10 21:30:00+00,-35.13,61.79,0.637632,1.524096,155.8,981.4233,0,12.5
BOYM,2026-06-10 21:15:00+00,-35.18,59.61,1.59408,3.84912,73.58,981.408,0,12.5
BOYM,2026-06-10 21:00:00+00,-34.21,61.64,1.782648,3.84912,131.2,981.408,0,12.51
BOYM,2026-06-10 20:45:00+00,-34.77,58.63,1.201392,2.591352,78.94,981.4007,0,12.51
BOYM,2026-06-10 20:30:00+00,-33.88,60.29,1.772928,3.84912,145.9,981.4581,0,12.51
BOYM,2026-06-10 20:15:00+00,-34.75,59.95,2.150064,3.543912,180.5,981.4876,0,12.51
BOYM,2026-06-10 20:00:00+00,-34.09,60.38,3.28536,5.410152,93.7,981.467,0,12.51
BOYM,2026-06-10 19:45:00+00,-34.49,59.79,1.56492,2.706048,125.9,981.5287,0,12.51
BOYM,2026-06-10 19:30:00+00,-33.79,58.76,2.239488,3.390336,184.6,981.4332,0,12.51
BOYM,2026-06-10 19:15:00+00,-34.38,59.25,1.265544,3.238704,202.2,981.3704,0,12.51
BOYM,2026-06-10 19:00:00+00,-34.19,59.07,0.367416,1.90512,177.1,981.4193,0,12.51
BOYM,2026-06-10 18:45:00+00,-34.2,59.77,1.430784,2.286144,85,981.362,0,12.52
BOYM,2026-06-10 18:30:00+00,-33.98,60.6,1.242216,2.40084,129.8,981.2601,0,12.51
BOYM,2026-06-10 18:15:00+00,-34.06,58.34,0.639576,1.86624,206.2,981.2936,0.001,12.52
BOYM,2026-06-10 18:00:00+00,-33.47,59.72,0.970056,2.476656,93.2,981.1116,0.001,12.52
BOYM,2026-06-10 17:45:00+00,-34.14,59.92,1.980936,3.886056,177.5,980.9326,0,12.52
BOYM,2026-06-10 17:30:00+00,-33.68,57.15,1.073088,2.742984,131.4,981.0165,0,12.52
BOYM,2026-06-10 17:15:00+00,-33.24,57.38,2.0898,3.961872,132.2,981.0597,0.001,12.52
BOYM,2026-06-10 17:00:00+00,-33.21,58.08,1.92456,3.658608,104,981.1553,0,12.52
BOYM,2026-06-10 16:45:00+00,-33.24,55.93,0.452952,2.095632,117.4,981.2031,0,12.52
BOYM,2026-06-10 16:30:00+00,-32.55,56.15,1.405512,2.89656,170.2,981.2278,0,12.52
BOYM,2026-06-10 16:15:00+00,-32.7,55.63,1.61352,2.933496,193.6,981.1771,0,12.53
BOYM,2026-06-10 16:00:00+00,-32.65,57.71,1.751544,3.84912,184.9,981.0033,0.001,12.53
BOYM,2026-06-10 15:45:00+00,-32.94,55.57,1.726272,3.124008,206.8,981.0053,0,12.52
BOYM,2026-06-10 15:30:00+00,-31.8,56.09,1.518264,2.742984,97.3,981.2062,0,12.52
