symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
HO2M,2026-04-08 02:45:00+00,-22.35,58.4,3.147336,5.295456,32.28,980.2107,28.48,12.83
HO2M,2026-04-08 02:30:00+00,-21.67,56.52,1.580472,4.457592,12.36,980.3775,27.22,12.83
HO2M,2026-04-08 02:15:00+00,-21.18,54.89,2.241432,5.3732157,16.96,980.5284,24,12.83
HO2M,2026-04-08 02:00:00+00,-22.17,61.12,2.4727678,4.80168,330,980.7179,24.41,12.83
HO2M,2026-04-08 01:45:00+00,-22.96,61.18,1.722384,4.533408,216.3,980.7303,24.99,12.83
HO2M,2026-04-08 01:30:00+00,-21.76,58.16,1.864296,4.0396323,2.418,980.8129,23.99,12.83
HO2M,2026-04-08 01:15:00+00,-22.06,59.56,2.746872,4.381776,17.94,980.9749,22.61,12.83
HO2M,2026-04-08 01:00:00+00,-22.42,60.76,3.211488,6.1721997,110.2,981.1743,23.01,12.83
HO2M,2026-04-08 00:45:00+00,-22.19,59.99,1.0847521,3.81024,294.2,981.3074,27.22,12.81
HO2M,2026-04-08 00:30:00+00,-22.17,60.12,1.877904,3.886056,54.01,981.3279,37.52,12.83
HO2M,2026-04-08 00:15:00+00,-21.81,57.91,1.4268961,3.3534,270.2,981.2856,32.68,12.83
HO2M,2026-04-08 00:00:00+00,-21.29,58.06,2.768256,4.115448,22.11,981.3621,25.22,12.82
HO2M,2026-04-07 23:45:00+00,-21.72,58.14,2.321136,5.21964,20.02,981.5191,19.67,12.82
HO2M,2026-04-07 23:30:00+00,-22.16,60.35,2.7390962,5.944752,4.566,981.5692,21.66,12.82
HO2M,2026-04-07 23:15:00+00,-21.93,61.54,1.732104,3.0870721,14.63,981.5775,21.72,12.82
HO2M,2026-04-07 23:00:00+00,-22.3,60.87,1.967328,4.9533124,52.79,981.6684,20.17,12.81
HO2M,2026-04-07 22:45:00+00,-22.38,63.87,4.52952,6.8584323,11.52,981.7532,16.83,12.81
HO2M,2026-04-07 22:30:00+00,-23.72,66.73,2.972376,5.866992,2.751,981.7885,14.07,12.8
HO2M,2026-04-07 22:15:00+00,-22.81,63.98,2.3094718,4.0765676,43.87,981.6736,12.28,12.8
HO2M,2026-04-07 22:00:00+00,-23.29,65.3,1.3277521,4.230144,26.81,981.6717,11.94,12.8
HO2M,2026-04-07 21:45:00+00,-22.59,63.41,1.7845919,2.933496,54.57,981.6612,10.56,12.8
